Aces,Break Points Won,Break Points Saved,Break Points Lost,Break Points Won Raw,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
10,6,2,0,6/7 (86%),1,38/66 (58%),N.DJOKOVIC,3/6 (50%),27/53 (51%),51,76,14,36/38 (95%),13/28 (46%),46,25,199,177,158
0,0,1,6,0/2 (0%),1,40/53 (75%),R.BERANKIS,7/12 (58%),17/66 (26%),26,43,25,20/40 (50%),6/13 (46%),46,14,186,171,141
5,6,3,1,6/14 (43%),0,35/73 (48%),DE.GALAN,9/15 (60%),42/88 (48%),48,96,22,24/35 (69%),30/38 (79%),79,21,,,
5,1,8,6,1/4 (25%),4,58/88 (66%),T.SANDGREN,16/20 (80%),19/73 (26%),26,65,52,37/58 (64%),9/30 (30%),30,26,,,
12,7,2,4,7/20 (35%),6,74/129 (57%),C.GARIN,38/53 (72%),82/178 (46%),46,168,58,58/74 (78%),28/55 (51%),51,80,201,182,148
4,4,13,7,4/6 (67%),4,113/178 (63%),M.POLMANS,33/48 (69%),43/129 (33%),33,139,43,65/113 (58%),31/65 (48%),48,36,239,174,141
7,5,6,8,5/7 (71%),2,109/159 (69%),J.VESELY,27/43 (63%),44/130 (34%),34,136,46,74/109 (68%),18/50 (36%),36,47,211,178,150
7,8,2,5,8/14 (57%),10,81/130 (62%),K.KHACHANOV,18/28 (64%),67/159 (42%),42,153,42,67/81 (83%),19/49 (39%),39,65,196,179,144
3,8,3,2,8/12 (67%),1,47/68 (69%),R.BAUTISTA AGUT,14/21 (67%),42/71 (59%),59,88,11,30/47 (64%),16/21 (76%),76,30,189,170,142
0,2,4,8,2/5 (40%),5,36/71 (51%),A.BALAZS,9/17 (53%),22/68 (32%),32,51,34,19/36 (53%),10/35 (29%),29,20,195,172,146
2,0,5,6,0/1 (0%),3,47/66 (71%),G.PELLA,6/10 (60%),14/64 (22%),22,47,24,26/47 (55%),7/19 (37%),37,15,196,174,145
6,6,1,0,6/11 (55%),1,44/64 (69%),P.CARRENO BUSTA,6/7 (86%),33/66 (50%),50,83,17,39/44 (89%),11/20 (55%),55,32,196,165,136
3,1,8,5,1/6 (17%),3,65/108 (60%),JL.STRUFF,24/33 (73%),37/106 (35%),35,98,33,42/65 (65%),19/43 (44%),44,31,207,186,143
9,5,5,1,5/13 (38%),4,55/106 (52%),D.ALTMAIER,13/15 (87%),47/108 (44%),44,116,38,46/55 (84%),23/51 (45%),45,43,202,186,140
3,2,4,5,2/9 (22%),3,75/115 (65%),L.HARRIS,19/36 (53%),36/116 (31%),31,105,48,51/75 (68%),18/40 (45%),45,26,209,185,143
5,5,7,2,5/9 (56%),0,69/116 (59%),M.BERRETTINI,22/30 (73%),46/115 (40%),40,126,39,52/69 (75%),28/47 (60%),60,39,218,192,150
3,4,9,2,4/11 (36%),6,67/121 (55%),M.FUCSOVICS,18/28 (64%),43/109 (39%),39,120,43,45/67 (67%),32/54 (59%),59,34,,,
3,2,7,4,2/11 (18%),3,74/109 (68%),A.RAMOS-VINOLAS,15/21 (71%),44/121 (36%),36,110,46,51/74 (69%),15/35 (43%),43,21,,,
10,1,7,5,1/3 (33%),2,57/102 (56%),M.GIRON,10/18 (56%),15/77 (19%),19,76,22,41/57 (72%),20/45 (44%),44,29,,,
